Dataset,IBK:K,IBK:Distance Weights?,logistic:ridge,J48:C,Ripper:OptRun,SMO:C,SMO:d,MP:learn,RBFN:K,RBFN:ridge,Ada:iter,Ada:thresh
Abalone,8,N,1.00E-05,0.1,10,1.5,2,0.3,5,1.00E-05,10,0
Car,3,Y,1.00E-05,0.25,7,1.5,1,0.5,5,0.1,30,50
CMC,8,N,1,0.1,10,1,2,0.3,5,0.1,10,50
Ecoli,8,Y,0.1,0.75,4,0.5,4,0.3,2,0.1,40,50
Flag,7,Y,1,0.1,7,0.5,1,0.5,2,1.00E-05,10,100
TicTacToe,3,Y,0.1,0.1,2,1,1,0.1,5,0.1,40,100
Wine,8,Y,0.01,0.1,10,0.5,4,0.5,5,0.1,40,100
WineQuality,8,Y,0.1,0.1,10,0.5,2,0.5,2,0.1,10,50
Yeast,8,Y,0.01,0.1,3,1,4,0.3,2,1.00E-05,10,50
Zoo,3,Y,1.00E-05,0.1,10,1,1,0.5,2,0.1,10,100
,,,,,,,,,,,,
