"wife_age","wife_edu","husband_edu","children","wife_religion","wife_working","husband_job","sli","media","contra_method"
24,"c","d",3,"b","b","c","d","a","a"
45,"b","d",10,"b","b","d","e","a","a"
43,"c","d",7,"b","b","d","e","a","a"
42,"d","c",9,"b","b","d","d","a","a"
36,"d","d",8,"b","b","d","c","a","a"
19,"e","e",0,"b","b","d","d","a","a"
38,"c","d",6,"b","b","d","c","a","a"
21,"d","d",1,"b","a","d","c","a","a"
27,"c","d",3,"b","b","d","e","a","a"
45,"b","b",8,"b","b","c","c","b","a"
38,"b","d",2,"b","a","d","d","b","a"
42,"b","e",4,"b","b","b","d","a","a"
44,"e","e",1,"b","a","b","e","a","a"
42,"c","e",1,"b","a","d","d","a","a"
38,"d","e",2,"b","b","c","d","a","a"
26,"c","e",0,"b","b","e","b","a","a"
48,"b","b",7,"b","b","c","e","a","a"
39,"c","c",6,"b","b","c","e","a","a"
37,"c","c",8,"b","b","c","d","a","a"
39,"c","b",5,"b","b","c","b","b","a"
26,"d","e",1,"b","a","e","b","a","a"
24,"d","e",0,"b","a","d","b","a","a"
46,"e","e",1,"a","b","b","e","a","a"
39,"e","e",1,"b","b","b","e","a","a"
48,"e","e",5,"b","b","b","e","a","a"
40,"c","e",8,"b","b","d","d","a","a"
38,"e","e",1,"b","a","b","e","a","a"
29,"e","e",0,"b","a","b","e","a","a"
24,"e","e",0,"b","a","c","c","a","a"
43,"b","c",8,"b","b","c","e","a","a"
31,"d","e",2,"b","b","b","e","a","a"
31,"e","e",2,"b","b","d","c","a","a"
26,"c","e",0,"b","a","b","c","a","a"
33,"c","c",2,"b","b","d","b","a","a"
24,"c","d",1,"b","b","d","d","a","a"
42,"b","d",9,"b","b","d","c","b","a"
43,"b","c",8,"b","a","d","b","a","a"
25,"d","d",4,"b","b","d","c","a","a"
42,"c","c",3,"b","b","d","e","a","a"
28,"c","c",1,"b","b","c","e","a","a"
28,"b","b",3,"b","b","d","b","a","a"
47,"c","d",0,"b","a","b","d","a","a"
48,"c","e",2,"b","b","b","d","a","a"
40,"e","e",2,"a","b","b","e","a","a"
28,"c","c",1,"b","b","d","c","a","a"
25,"b","e",1,"b","b","c","b","a","a"
32,"e","e",2,"b","b","c","d","a","a"
45,"e","e",0,"b","b","c","e","a","a"
26,"e","e",1,"b","b","b","e","a","a"
26,"e","e",0,"b","a","b","e","a","a"
31,"e","e",0,"b","a","b","e","a","a"
49,"e","e",7,"a","b","c","e","a","a"
40,"d","e",8,"b","b","d","d","a","a"
34,"e","e",1,"a","a","c","d","a","a"
36,"c","e",5,"b","b","c","d","a","a"
20,"c","c",2,"b","b","c","c","b","a"
43,"e","e",5,"b","a","b","e","a","a"
37,"d","e",7,"b","b","c","b","a","a"
21,"c","d",0,"b","b","d","e","a","a"
49,"e","e",6,"b","b","b","c","a","a"
42,"d","d",10,"b","b","d","d","a","a"
20,"c","d",1,"b","b","c","d","a","a"
47,"b","c",2,"b","a","b","d","a","a"
22,"c","d",1,"b","b","c","b","a","a"
27,"c","e",1,"b","a","b","d","a","a"
24,"c","e",1,"b","b","d","b","a","a"
44,"e","c",8,"b","b","d","d","a","a"
30,"c","d",3,"b","b","d","b","a","a"
23,"d","e",2,"b","b","d","e","a","a"
25,"e","e",1,"b","a","d","d","a","a"
47,"c","d",4,"b","b","c","d","a","a"
48,"c","d",8,"b","b","b","e","a","a"
29,"c","d",1,"b","b","b","b","a","a"
29,"c","d",1,"b","b","b","c","a","a"
21,"d","e",0,"b","b","c","d","a","a"
21,"d","e",1,"b","b","c","d","a","a"
29,"e","e",0,"b","a","c","e","a","a"
45,"d","e",3,"b","b","b","e","a","a"
33,"c","d",2,"b","b","d","c","a","a"
38,"e","e",1,"b","a","b","e","a","a"
24,"e","e",0,"a","b","b","e","a","a"
49,"e","e",6,"a","a","b","e","a","a"
24,"c","e",1,"b","a","e","e","a","a"
28,"e","e",0,"a","a","b","e","a","a"
30,"e","e",2,"b","b","b","e","a","a"
33,"e","e",2,"b","b","b","e","a","a"
25,"e","e",1,"b","b","b","d","a","a"
35,"e","e",3,"a","b","b","e","a","a"
27,"c","e",4,"b","b","b","e","a","a"
24,"c","c",3,"b","a","c","b","a","a"
25,"c","d",0,"b","b","c","b","a","a"
46,"c","e",6,"b","b","b","e","a","a"
26,"c","c",3,"b","b","c","b","a","a"
38,"c","c",1,"b","a","d","c","a","a"
47,"b","c",3,"b","b","b","d","a","a"
41,"b","d",10,"b","b","c","d","b","a"
41,"c","d",1,"b","a","c","d","a","a"
28,"e","e",5,"b","b","c","b","a","a"
17,"c","c",3,"b","b","d","b","a","a"
27,"c","d",5,"b","b","c","b","a","a"
27,"b","c",4,"b","b","d","b","b","a"
19,"c","d",0,"b","a","c","c","a","a"
27,"c","e",3,"b","a","d","c","a","a"
26,"e","d",4,"b","b","c","d","a","a"
23,"c","e",2,"b","b","d","d","a","a"
40,"d","d",3,"b","b","d","c","a","a"
22,"e","e",0,"b","b","b","b","a","a"
44,"d","e",4,"b","a","b","d","a","a"
29,"c","d",2,"b","b","d","b","a","a"
26,"c","d",3,"b","b","d","b","a","a"
45,"e","e",1,"b","a","d","d","a","a"
32,"d","d",7,"b","a","c","d","a","a"
21,"e","e",1,"b","b","b","e","a","a"
31,"c","c",4,"b","b","d","d","a","a"
21,"d","e",0,"b","b","b","d","a","a"
37,"e","e",1,"b","b","b","e","a","a"
34,"e","e",3,"a","a","d","d","a","a"
44,"d","e",1,"b","b","b","d","a","a"
49,"e","d",5,"b","b","c","d","a","a"
26,"c","d",2,"b","b","d","d","a","a"
38,"b","c",1,"b","b","c","e","b","a"
36,"c","d",5,"b","b","c","d","a","a"
26,"d","e",2,"b","b","d","d","a","a"
20,"c","d",1,"a","b","d","c","a","a"
44,"c","b",3,"b","a","d","c","a","a"
31,"d","e",2,"b","b","b","c","b","a"
45,"e","e",1,"b","b","b","d","a","a"
36,"c","d",2,"b","b","d","c","b","a"
43,"b","d",2,"b","a","c","c","b","a"
25,"d","e",0,"b","b","b","d","a","a"
48,"d","e",3,"b","b","d","b","a","a"
30,"e","e",0,"a","a","b","d","a","a"
48,"b","c",8,"b","b","d","b","a","a"
28,"d","e",1,"b","b","d","b","b","a"
26,"e","e",1,"b","b","b","d","a","a"
26,"d","d",3,"b","a","c","e","a","a"
24,"e","e",2,"b","b","d","d","a","a"
21,"d","d",2,"b","b","c","c","a","a"
30,"e","e",2,"a","b","d","b","a","a"
20,"e","e",1,"b","b","b","e","a","a"
33,"e","e",2,"b","b","b","d","a","a"
30,"e","e",0,"a","a","d","d","a","a"
47,"e","e",1,"b","a","b","d","a","a"
35,"e","e",2,"a","b","d","d","a","a"
30,"c","e",2,"b","b","d","e","a","a"
33,"e","e",3,"b","b","b","e","a","a"
45,"e","e",4,"b","b","c","d","a","a"
41,"e","e",2,"b","b","b","e","a","a"
32,"e","e",1,"b","a","b","d","a","a"
43,"e","e",5,"b","b","b","e","a","a"
44,"e","e",3,"b","b","c","e","a","a"
21,"b","d",4,"b","b","d","c","a","a"
44,"d","e",2,"b","b","b","e","b","a"
23,"e","e",2,"b","b","c","e","a","a"
47,"b","c",4,"b","b","c","c","a","a"
47,"b","b",7,"b","b","c","d","b","a"
35,"e","e",2,"b","a","c","e","a","a"
32,"c","e",4,"b","b","d","c","a","a"
45,"b","e",5,"b","b","b","c","b","a"
22,"c","c",2,"b","b","d","b","a","a"
23,"b","b",3,"b","b","c","b","b","a"
30,"e","e",0,"b","a","b","e","a","a"
44,"b","d",0,"b","b","c","d","a","a"
40,"d","d",1,"b","a","d","d","a","a"
34,"e","e",4,"b","b","c","d","a","a"
37,"d","e",1,"b","b","c","e","a","a"
49,"d","e",5,"b","b","b","e","a","a"
26,"e","e",1,"b","b","b","e","a","a"
22,"e","e",0,"b","b","c","e","a","a"
20,"d","e",0,"b","a","c","e","a","a"
47,"e","e",4,"b","b","b","e","a","a"
49,"c","c",8,"b","a","d","b","a","a"
22,"c","e",1,"b","b","c","e","a","a"
22,"d","d",2,"b","b","d","e","a","a"
25,"d","c",2,"b","b","d","c","a","a"
32,"c","e",0,"b","a","d","e","a","a"
28,"e","e",0,"a","b","b","d","a","a"
30,"c","e",4,"b","a","b","e","a","a"
45,"c","e",2,"b","a","c","e","a","a"
49,"c","b",10,"b","a","c","e","a","a"
34,"e","e",2,"b","a","b","e","a","a"
25,"c","e",1,"b","b","c","c","a","a"
42,"b","d",12,"b","b","d","d","a","a"
48,"c","b",3,"b","a","e","d","a","a"
35,"d","e",5,"b","a","c","c","a","a"
33,"c","d",1,"b","b","d","e","a","a"
20,"c","e",0,"b","b","d","c","a","a"
36,"c","d",4,"b","b","d","b","b","a"
19,"d","d",2,"b","b","d","c","a","a"
27,"d","c",3,"b","b","d","c","a","a"
30,"b","c",4,"b","b","e","b","a","a"
31,"d","e",3,"b","a","d","c","a","a"
44,"b","b",11,"b","b","e","b","b","a"
24,"d","d",2,"b","b","d","d","a","a"
18,"d","e",0,"b","a","d","b","a","a"
45,"b","c",6,"b","b","d","d","b","a"
25,"c","c",3,"b","a","d","b","a","a"
36,"d","e",6,"b","b","c","e","a","a"
30,"b","b",5,"b","b","c","c","a","a"
32,"c","e",2,"b","b","d","d","a","a"
42,"b","e",11,"a","b","c","c","b","a"
22,"c","e",0,"b","b","d","d","a","a"
36,"c","e",2,"b","a","c","e","a","a"
27,"c","d",2,"b","b","d","d","a","a"
40,"d","e",1,"b","b","b","c","a","a"
22,"c","d",2,"b","b","d","b","a","a"
26,"c","e",0,"b","b","d","b","a","a"
31,"d","e",0,"b","a","c","d","a","a"
32,"e","e",1,"b","b","b","e","a","a"
34,"c","d",3,"b","a","d","c","a","a"
40,"d","d",1,"a","b","d","e","a","a"
45,"b","c",1,"b","a","d","d","a","a"
26,"d","e",3,"b","b","d","c","a","a"
48,"b","d",5,"b","b","d","c","a","a"
43,"b","d",8,"b","b","d","b","a","a"
27,"d","e",2,"b","a","c","c","a","a"
42,"d","c",1,"b","b","d","d","a","a"
34,"d","c",8,"b","a","c","d","b","a"
32,"d","c",4,"b","b","c","c","b","a"
31,"d","d",2,"b","a","c","d","a","a"
22,"c","d",1,"b","b","d","d","a","a"
27,"d","e",0,"b","b","d","d","a","a"
37,"b","c",2,"b","b","c","c","b","a"
22,"b","c",0,"b","b","c","e","a","a"
47,"e","e",4,"b","b","b","e","a","a"
32,"e","e",4,"b","a","b","d","a","a"
37,"d","d",2,"b","b","b","e","a","a"
45,"b","d",1,"b","b","c","d","b","a"
47,"b","e",8,"b","b","d","d","a","a"
28,"d","e",0,"b","b","d","c","a","a"
48,"b","d",4,"b","b","d","e","b","a"
26,"c","e",1,"b","b","b","d","a","a"
21,"d","e",0,"b","a","d","b","a","a"
20,"c","d",1,"b","b","c","e","a","a"
39,"b","b",5,"b","a","d","b","b","a"
27,"c","d",1,"b","a","d","e","a","a"
37,"c","d",5,"b","a","d","c","a","a"
24,"e","e",1,"b","b","d","d","a","a"
39,"d","d",6,"b","b","d","d","a","a"
20,"d","d",1,"b","b","c","d","a","a"
19,"d","e",1,"b","b","c","d","a","a"
40,"d","d",4,"b","b","c","c","a","a"
41,"b","e",4,"b","b","d","d","a","a"
22,"e","e",2,"b","b","b","d","a","a"
32,"d","e",4,"b","b","b","e","a","a"
34,"e","e",2,"a","b","b","e","a","a"
34,"e","e",2,"b","a","b","d","a","a"
23,"e","e",2,"b","b","b","e","a","a"
27,"e","e",1,"b","b","b","c","a","a"
46,"d","c",11,"b","a","c","c","b","a"
34,"e","e",3,"a","b","b","c","a","a"
33,"e","e",5,"b","b","d","d","a","a"
25,"d","d",1,"b","b","d","c","a","a"
26,"e","e",1,"b","a","b","e","a","a"
48,"b","d",4,"b","b","d","d","b","a"
36,"e","e",2,"b","b","d","d","a","a"
38,"d","e",2,"a","b","c","e","a","a"
44,"b","c",7,"b","b","d","e","a","a"
44,"c","c",1,"b","a","d","c","a","a"
39,"d","d",1,"a","b","d","e","a","a"
47,"b","c",7,"b","a","d","c","a","a"
43,"b","d",5,"b","a","d","c","a","a"
29,"d","d",3,"b","a","c","e","a","a"
22,"d","d",0,"b","b","c","c","a","a"
31,"c","e",5,"b","b","d","c","a","a"
22,"e","e",0,"b","b","b","d","a","a"
45,"d","e",6,"b","b","c","e","a","a"
42,"d","e",10,"b","a","d","c","a","a"
38,"d","d",7,"b","b","d","b","a","a"
47,"b","b",6,"b","a","d","b","a","a"
30,"e","e",2,"b","b","b","e","a","a"
28,"d","e",1,"b","b","d","e","a","a"
25,"d","e",1,"b","b","c","b","a","a"
49,"c","e",6,"a","b","c","d","a","a"
23,"d","e",2,"b","a","c","d","a","a"
35,"d","e",1,"a","b","c","d","a","a"
47,"c","b",5,"a","b","c","e","a","a"
35,"c","d",0,"b","b","c","e","a","a"
44,"d","e",6,"b","b","d","e","a","a"
48,"e","e",3,"b","b","c","e","a","a"
43,"c","d",6,"b","a","d","d","a","a"
21,"c","e",2,"b","b","d","b","a","a"
22,"e","e",0,"b","b","b","e","a","a"
41,"d","d",5,"b","b","d","e","a","a"
29,"c","e",2,"b","a","e","e","b","a"
44,"e","e",5,"a","b","c","e","a","a"
22,"e","e",0,"b","a","b","e","a","a"
23,"c","e",4,"b","b","d","d","a","a"
22,"c","b",0,"b","b","d","c","a","a"
35,"b","d",0,"b","b","c","c","b","a"
24,"e","e",1,"b","b","c","c","a","a"
36,"e","e",4,"b","b","b","e","a","a"
47,"b","c",2,"b","b","c","e","a","a"
40,"e","e",3,"b","b","d","e","a","a"
29,"e","e",1,"b","b","b","d","a","a"
49,"d","e",6,"b","b","b","e","a","a"
49,"d","e",9,"b","b","b","e","a","a"
47,"e","e",2,"b","b","b","e","a","a"
28,"e","e",3,"a","b","b","e","a","a"
26,"e","e",1,"b","b","b","e","a","a"
29,"b","c",7,"b","b","c","e","a","a"
29,"e","c",0,"b","a","c","c","a","a"
25,"d","d",1,"b","b","d","e","a","a"
24,"c","e",2,"b","b","d","e","a","a"
23,"e","e",1,"b","a","c","e","a","a"
23,"e","e",2,"b","a","d","d","a","a"
44,"b","c",2,"b","b","c","e","a","a"
39,"d","e",6,"b","b","b","e","a","a"
21,"d","d",0,"b","b","c","c","a","a"
22,"d","e",2,"b","b","c","d","a","a"
47,"d","e",3,"b","b","c","d","a","a"
36,"d","d",2,"b","a","c","e","a","a"
25,"b","e",2,"b","a","d","d","b","a"
40,"e","e",2,"b","b","d","e","a","a"
36,"c","c",0,"a","a","d","d","a","a"
37,"c","d",5,"a","a","c","e","a","a"
28,"b","e",2,"b","a","c","d","a","a"
30,"d","d",5,"b","a","d","e","a","a"
16,"d","e",1,"b","b","d","d","a","a"
32,"c","d",4,"a","b","c","e","a","a"
40,"e","e",3,"a","b","d","e","a","a"
40,"b","b",2,"b","a","d","e","a","a"
45,"d","e",2,"a","b","b","e","a","a"
21,"b","d",0,"b","a","d","e","b","a"
28,"e","e",1,"a","b","b","d","a","a"
25,"e","e",1,"a","b","c","d","a","a"
44,"b","d",4,"b","b","d","d","b","a"
35,"e","e",2,"a","b","d","e","a","a"
49,"e","e",4,"b","b","d","e","a","a"
39,"d","e",1,"a","b","d","e","a","a"
32,"d","e",1,"a","b","c","e","a","a"
35,"b","c",0,"b","a","e","e","a","a"
21,"b","c",1,"b","a","d","e","a","a"
47,"e","e",1,"a","b","b","e","a","a"
27,"e","e",1,"a","b","d","e","a","a"
31,"c","c",8,"b","b","c","c","b","a"
34,"e","d",0,"a","a","d","d","a","a"
30,"e","e",3,"b","a","c","e","a","a"
25,"e","e",0,"b","a","c","e","a","a"
28,"d","e",3,"b","b","c","b","a","a"
30,"c","d",4,"b","a","d","c","a","a"
42,"d","d",8,"b","b","e","d","a","a"
23,"e","e",0,"a","b","c","e","a","a"
45,"d","e",3,"a","b","d","e","a","a"
21,"e","e",1,"b","b","d","d","a","a"
28,"e","e",1,"a","b","c","e","a","a"
33,"e","e",1,"a","a","d","e","a","a"
32,"b","c",4,"b","b","d","c","b","a"
25,"c","c",3,"b","b","d","d","a","a"
25,"d","d",1,"b","b","d","b","a","a"
19,"c","c",2,"b","b","d","b","a","a"
40,"b","c",6,"b","b","d","b","b","a"
24,"c","c",2,"b","b","d","b","b","a"
32,"c","c",1,"b","b","c","b","a","a"
35,"c","d",8,"b","b","d","c","a","a"
27,"c","c",1,"b","a","d","c","b","a"
23,"c","e",2,"b","b","b","e","a","a"
22,"c","e",4,"b","b","d","e","a","a"
49,"c","d",0,"b","b","b","c","a","a"
25,"c","d",0,"b","b","c","e","a","a"
18,"d","e",1,"b","b","d","b","a","a"
43,"d","d",4,"b","b","c","e","a","a"
37,"b","d",0,"b","b","d","e","a","a"
30,"c","d",2,"b","a","c","e","a","a"
29,"d","c",0,"b","b","c","c","a","a"
20,"c","d",3,"b","b","d","e","a","a"
42,"d","d",3,"b","a","c","e","a","a"
23,"e","e",1,"b","b","c","d","a","a"
34,"c","d",7,"b","a","d","d","a","a"
23,"d","d",6,"b","b","d","d","a","a"
38,"d","d",5,"b","b","b","e","a","a"
37,"c","d",4,"b","b","c","d","a","a"
17,"c","d",1,"b","b","d","c","a","a"
39,"d","e",3,"b","b","b","e","a","a"
49,"b","d",0,"b","b","d","d","b","a"
23,"d","d",2,"b","b","c","c","a","a"
40,"d","d",3,"b","b","c","c","b","a"
32,"c","e",5,"b","b","c","d","a","a"
18,"c","d",1,"b","b","c","d","a","a"
46,"b","c",8,"b","b","d","d","b","a"
37,"d","d",6,"b","b","c","c","a","a"
38,"c","e",5,"a","b","c","c","a","a"
37,"c","d",2,"a","a","d","d","a","a"
25,"c","d",1,"b","a","c","b","a","a"
38,"c","e",5,"b","b","d","d","a","a"
39,"e","e",2,"b","a","b","e","a","a"
44,"e","e",3,"b","a","b","e","b","a"
19,"e","e",0,"a","b","d","e","a","a"
28,"c","e",1,"b","a","d","e","a","a"
20,"c","d",1,"b","b","d","e","a","a"
33,"e","e",0,"b","a","d","d","a","a"
33,"e","e",5,"b","b","d","e","a","a"
47,"b","e",6,"b","b","b","e","a","a"
25,"d","d",0,"b","b","d","e","a","a"
29,"e","e",0,"b","a","c","e","a","a"
37,"e","e",2,"a","b","b","e","a","a"
49,"b","d",6,"b","b","c","e","a","a"
48,"b","b",8,"b","a","c","c","b","a"
19,"c","c",0,"b","b","c","c","a","a"
46,"b","c",3,"b","b","c","b","b","a"
39,"b","c",2,"b","b","d","b","b","a"
30,"d","e",5,"b","b","b","e","a","a"
40,"c","c",8,"b","b","c","c","a","a"
43,"b","c",1,"b","b","d","e","b","a"
29,"d","e",4,"b","a","b","d","a","a"
23,"d","d",2,"b","b","d","d","a","a"
24,"c","c",3,"b","b","c","e","a","a"
47,"d","d",2,"b","b","c","e","a","a"
35,"d","d",2,"b","a","c","c","a","a"
19,"d","d",1,"b","b","c","e","a","a"
45,"c","d",4,"b","a","c","e","a","a"
42,"c","e",2,"b","b","d","e","a","a"
47,"b","b",1,"b","b","d","e","a","a"
25,"c","c",2,"b","b","d","b","a","a"
20,"c","d",3,"b","b","d","e","a","a"
33,"d","d",6,"b","b","d","e","a","b"
46,"e","d",5,"b","b","b","e","a","b"
35,"e","e",4,"b","b","b","e","a","b"
26,"e","e",2,"b","a","b","e","a","b"
36,"d","d",5,"b","a","b","d","a","b"
37,"d","e",3,"b","b","b","d","a","b"
44,"c","e",4,"b","b","d","d","a","b"
32,"e","e",2,"b","b","b","e","a","b"
25,"c","e",6,"b","b","d","e","a","b"
42,"c","d",7,"b","b","d","e","a","b"
30,"e","e",2,"a","a","b","e","a","b"
39,"e","e",4,"b","b","b","e","a","b"
26,"b","b",2,"b","b","d","e","a","b"
30,"c","e",3,"b","b","d","e","a","b"
38,"e","e",4,"a","a","b","c","a","b"
23,"e","e",1,"b","b","b","c","a","b"
18,"d","e",1,"b","b","d","e","a","b"
25,"d","e",3,"b","b","c","d","a","b"
37,"e","e",2,"b","a","d","d","a","b"
20,"d","e",1,"b","b","d","c","a","b"
45,"e","e",7,"b","b","b","e","a","b"
28,"c","b",2,"b","a","d","d","a","b"
33,"c","c",3,"b","b","c","d","a","b"
28,"c","d",2,"b","b","d","d","a","b"
30,"c","e",1,"b","a","d","e","a","b"
32,"e","e",4,"b","b","c","e","a","b"
48,"e","d",7,"b","a","c","e","a","b"
46,"e","e",2,"b","a","b","e","a","b"
32,"e","e",2,"a","a","b","e","a","b"
49,"e","e",10,"b","b","b","e","a","b"
33,"c","c",6,"b","a","d","e","a","b"
39,"e","e",3,"b","b","b","e","a","b"
35,"e","e",5,"a","a","b","e","a","b"
36,"e","e",3,"a","b","b","d","a","b"
20,"d","e",1,"b","b","c","e","a","b"
23,"e","e",1,"b","b","d","e","a","b"
26,"c","e",2,"b","b","b","d","a","b"
25,"d","d",1,"b","b","d","b","a","b"
31,"e","e",1,"b","b","b","e","a","b"
36,"e","e",2,"b","b","c","e","a","b"
32,"d","d",2,"b","a","d","e","a","b"
36,"e","e",3,"b","b","b","e","a","b"
40,"e","e",3,"b","b","b","e","a","b"
46,"e","e",4,"b","b","b","e","a","b"
42,"e","e",8,"a","b","b","e","a","b"
39,"e","e",4,"b","a","b","e","a","b"
34,"e","e",2,"b","b","b","e","a","b"
36,"e","e",3,"b","b","b","e","a","b"
37,"e","e",3,"b","b","b","e","a","b"
36,"e","e",4,"a","b","b","e","a","b"
38,"e","e",2,"b","b","b","e","a","b"
27,"d","d",1,"a","a","c","e","a","b"
37,"e","d",8,"b","b","b","e","a","b"
24,"b","e",1,"b","a","e","c","b","b"
42,"c","e",8,"b","b","b","e","a","b"
31,"e","e",3,"a","a","e","e","a","b"
34,"c","d",2,"b","b","d","d","a","b"
34,"e","e",4,"b","b","d","d","a","b"
36,"e","e",4,"a","a","b","e","a","b"
47,"e","e",8,"b","b","b","e","a","b"
34,"e","e",3,"b","b","b","e","a","b"
44,"e","e",6,"a","b","b","d","a","b"
21,"e","e",1,"b","b","b","e","a","b"
42,"e","e",6,"b","b","b","d","a","b"
44,"e","e",4,"b","a","c","d","a","b"
19,"e","e",1,"b","b","c","d","a","b"
35,"b","d",7,"b","a","c","d","b","b"
24,"e","e",1,"b","b","d","c","a","b"
32,"d","e",7,"a","b","b","d","a","b"
31,"d","d",2,"b","a","d","d","a","b"
47,"d","e",11,"b","a","c","d","a","b"
38,"e","e",6,"b","a","d","d","a","b"
40,"e","e",4,"b","b","b","d","a","b"
35,"d","d",4,"b","b","d","c","a","b"
26,"d","e",3,"b","b","d","e","a","b"
23,"e","d",3,"b","b","d","d","a","b"
40,"e","e",6,"a","a","b","e","a","b"
37,"e","e",3,"b","b","b","e","a","b"
39,"e","e",5,"b","b","c","e","a","b"
25,"e","e",2,"b","b","c","e","a","b"
48,"e","e",4,"a","b","b","e","a","b"
31,"e","e",3,"b","b","b","e","a","b"
26,"e","e",1,"a","b","c","e","a","b"
44,"e","e",5,"b","a","b","e","a","b"
29,"e","e",1,"b","a","c","e","a","b"
36,"c","b",6,"b","b","c","b","a","b"
29,"e","e",2,"b","a","b","d","a","b"
37,"c","d",7,"b","b","d","e","a","b"
28,"d","d",3,"b","b","b","c","a","b"
40,"c","d",6,"b","b","b","c","a","b"
33,"e","e",4,"b","b","b","e","a","b"
22,"e","e",1,"b","b","b","c","a","b"
35,"d","e",5,"b","a","b","d","b","b"
32,"e","e",3,"a","b","d","d","a","b"
35,"e","e",5,"b","a","b","d","a","b"
29,"e","e",2,"b","b","b","e","a","b"
23,"d","d",2,"b","a","d","e","a","b"
35,"e","e",2,"b","a","b","e","a","b"
36,"e","e",3,"b","a","c","e","a","b"
32,"e","e",2,"b","a","b","e","a","b"
30,"e","b",4,"b","b","d","d","a","b"
36,"e","e",4,"a","b","c","e","a","b"
33,"e","e",3,"b","b","d","e","a","b"
33,"d","e",5,"a","b","d","d","a","b"
43,"c","e",13,"b","b","c","d","a","b"
35,"d","d",6,"b","b","c","d","a","b"
38,"e","e",5,"b","b","b","d","a","b"
25,"d","b",4,"b","b","d","b","a","b"
