"zone","area","population","language","religion","bars","stripes","colours","red","green","blue","gold","white","black","orange","mainhue","circles","crosses","saltires","quarters","sunstars","cresecent","triangle","icon","animate","text","topleft","botright","landmass"
"b",648,16,"k","c",0,3,5,"b","b","a","b","b","b","a","green",0,0,"a",0,1,"a","a","b","a","a","black","green","e"
"b",29,3,"g","g",0,0,3,"b","a","a","b","a","b","a","red",0,0,"a",0,1,"a","a","a","b","a","red","red","c"
"b",2388,20,"i","c",2,0,3,"b","b","a","a","b","a","a","green",0,0,"a",0,1,"b","a","a","a","a","green","white","d"
"d",0,0,"b","b",0,0,5,"b","a","b","b","b","a","b","blue",0,0,"a",0,0,"a","b","b","b","a","blue","red","f"
"b",0,0,"g","a",3,0,3,"b","a","b","b","a","a","a","gold",0,0,"a",0,0,"a","a","a","a","a","blue","red","c"
"c",1247,7,"k","f",0,2,3,"b","a","a","b","a","b","a","red",0,0,"a",0,1,"a","a","b","a","a","red","black","d"
"e",0,0,"b","b",0,1,3,"a","a","b","a","b","a","b","white",0,0,"a",0,0,"a","a","a","b","a","white","blue","a"
"e",0,0,"b","b",0,1,5,"b","a","b","b","b","b","a","red",0,0,"a",0,1,"a","b","a","a","a","black","red","a"
"d",2777,28,"c","a",0,3,2,"a","a","b","a","b","a","a","blue",0,0,"a",0,0,"a","a","a","a","a","blue","blue","b"
"d",2777,28,"c","a",0,3,3,"a","a","b","b","b","a","a","blue",0,0,"a",0,1,"a","a","a","a","a","blue","blue","b"
"c",7690,15,"b","b",0,0,3,"b","a","b","a","b","a","a","blue",0,1,"b",1,6,"a","a","a","a","a","white","blue","f"
"b",84,8,"e","a",0,3,2,"b","a","a","a","b","a","a","red",0,0,"a",0,0,"a","a","a","a","a","red","red","c"
"e",19,0,"b","b",0,3,3,"a","a","b","b","a","b","a","blue",0,0,"a",0,0,"a","b","a","a","a","blue","blue","a"
"b",1,0,"i","c",0,0,2,"b","a","a","a","b","a","a","red",0,0,"a",0,0,"a","a","a","a","a","white","red","e"
"b",143,90,"g","c",0,0,2,"b","b","a","a","a","a","a","green",1,0,"a",0,0,"a","a","a","a","a","green","green","e"
"e",0,0,"b","b",3,0,3,"a","a","b","b","a","b","a","blue",0,0,"a",0,0,"a","a","b","a","a","blue","blue","a"
"b",31,10,"g","a",3,0,3,"b","a","a","b","a","b","a","gold",0,0,"a",0,0,"a","a","a","a","a","black","red","c"
"e",23,0,"b","b",0,2,8,"b","b","b","b","b","b","b","blue",1,0,"a",0,0,"a","a","b","b","b","red","red","a"
"b",113,3,"d","f",0,0,2,"b","b","a","a","a","a","a","green",0,0,"a",0,1,"a","a","a","a","a","green","green","d"
"e",0,0,"b","b",0,0,6,"b","b","b","b","b","b","a","red",1,1,"b",1,0,"a","a","b","b","a","white","red","a"
"b",47,1,"k","d",0,0,4,"b","a","a","a","b","b","b","orange",4,0,"a",0,0,"a","a","a","b","a","orange","red","e"
"d",1099,6,"c","a",0,3,3,"b","b","a","b","a","a","a","red",0,0,"a",0,0,"a","a","a","a","a","red","green","b"
"c",600,1,"k","f",0,5,3,"a","a","b","a","b","b","a","blue",0,0,"a",0,0,"a","a","a","a","a","blue","blue","d"
"d",8512,119,"g","a",0,0,4,"a","b","b","b","b","a","a","green",1,0,"a",0,22,"a","a","a","a","b","green","green","b"
"e",0,0,"b","b",0,0,6,"b","b","b","b","b","a","b","blue",0,1,"b",1,0,"a","a","b","b","b","white","blue","a"
"b",6,0,"k","c",0,0,4,"b","a","a","b","b","b","a","gold",0,0,"a",0,0,"a","b","b","b","b","white","gold","e"
"b",111,9,"f","g",0,3,5,"b","b","b","b","b","a","a","red",0,0,"a",0,1,"a","a","b","b","a","white","red","c"
"e",274,7,"d","f",0,2,3,"b","b","a","b","a","a","a","red",0,0,"a",0,1,"a","a","a","a","a","red","green","d"
"b",678,35,"k","d",0,0,3,"b","a","b","a","b","a","a","red",0,0,"a",1,14,"a","a","b","b","a","blue","red","e"
"c",28,4,"k","f",0,0,3,"b","b","a","a","b","a","a","red",1,0,"b",0,3,"a","a","a","a","a","white","white","d"
"b",474,8,"d","b",3,0,3,"b","b","a","b","a","a","a","gold",0,0,"a",0,1,"a","a","a","a","a","green","gold","d"
"e",9976,24,"b","b",2,0,2,"b","a","a","a","b","a","a","red",0,0,"a",0,0,"a","a","a","b","a","red","red","a"
"e",4,0,"g","a",1,2,5,"b","b","a","b","a","b","b","gold",0,0,"a",0,1,"a","a","a","b","a","red","green","d"
"e",0,0,"b","b",0,0,6,"b","b","b","b","b","a","b","blue",1,1,"b",1,4,"a","a","b","b","b","white","blue","a"
"b",623,2,"k","f",1,0,5,"b","b","b","b","b","a","a","gold",0,0,"a",0,1,"a","a","a","a","a","blue","gold","d"
"b",1284,4,"d","f",3,0,3,"b","a","b","b","a","a","a","gold",0,0,"a",0,0,"a","a","a","a","a","blue","red","d"
"d",757,11,"c","a",0,2,3,"b","a","b","a","b","a","a","red",0,0,"a",1,1,"a","a","a","a","a","blue","red","b"
"b",9561,1008,"h","g",0,0,2,"b","a","a","b","a","a","a","red",0,0,"a",0,5,"a","a","a","a","a","red","red","e"
"e",1139,28,"c","a",0,3,3,"b","a","b","b","a","a","a","gold",0,0,"a",0,0,"a","a","a","a","a","gold","red","b"
"c",2,0,"d","c",0,0,2,"a","b","a","a","b","a","a","green",0,0,"a",0,4,"b","a","a","a","a","green","green","d"
"c",342,2,"k","f",0,0,3,"b","b","a","b","a","a","a","red",0,0,"a",0,1,"a","a","b","b","a","red","red","d"
"d",0,0,"b","b",0,0,4,"b","a","b","a","b","a","a","blue",1,1,"b",1,15,"a","a","a","a","a","white","blue","f"
"e",51,2,"c","a",0,5,3,"b","a","b","a","b","a","a","blue",0,0,"a",0,0,"a","a","a","a","a","blue","blue","a"
"e",115,10,"c","g",0,5,3,"b","a","b","a","b","a","a","blue",0,0,"a",0,1,"a","b","a","a","a","blue","blue","a"
"b",9,1,"g","b",0,0,3,"a","b","a","b","b","a","a","white",0,0,"a",0,0,"a","a","b","b","a","white","white","c"
"b",128,15,"f","g",0,0,3,"b","a","b","a","b","a","a","white",0,0,"a",0,0,"a","b","a","a","a","white","red","c"
"b",43,5,"g","b",0,0,2,"b","a","a","a","b","a","a","red",0,1,"a",0,0,"a","a","a","a","a","red","red","c"
"b",22,0,"d","c",0,0,4,"b","b","b","a","b","a","a","blue",0,0,"a",0,1,"a","b","a","a","a","white","green","d"
"e",0,0,"b","b",0,0,6,"b","b","b","b","b","b","a","green",1,0,"a",0,10,"a","a","a","b","a","green","green","a"
"e",49,6,"c","a",0,0,3,"b","a","b","a","b","a","a","blue",0,1,"a",0,0,"a","a","a","a","a","blue","blue","a"
"d",284,8,"c","a",0,3,3,"b","a","b","b","a","a","a","gold",0,0,"a",0,0,"a","a","a","a","a","gold","red","b"
"b",1001,47,"i","c",0,3,4,"b","a","a","b","b","b","a","black",0,0,"a",0,0,"a","a","a","b","b","red","black","d"
"e",21,5,"c","a",0,3,2,"a","a","b","a","b","a","a","blue",0,0,"a",0,0,"a","a","a","a","a","blue","blue","a"
"b",28,0,"k","f",0,3,4,"b","b","b","a","b","a","a","green",0,0,"a",0,0,"a","b","a","a","a","green","red","d"
"b",1222,31,"k","b",0,3,3,"b","b","a","b","a","a","a","green",0,0,"a",0,0,"a","a","a","a","a","green","red","d"
"e",1,0,"g","b",0,0,3,"b","a","b","a","b","a","a","white",0,1,"a",0,0,"a","a","a","a","a","white","white","c"
"d",12,0,"b","b",0,0,6,"b","b","b","b","b","a","a","blue",1,1,"b",1,0,"a","a","b","b","b","white","blue","b"
"c",18,1,"b","b",0,0,7,"b","b","b","b","b","a","b","blue",0,2,"b",1,0,"a","a","b","b","a","white","blue","f"
"b",337,5,"j","b",0,0,2,"a","a","b","a","b","a","a","white",0,1,"a",0,0,"a","a","a","a","a","white","white","c"
"b",547,54,"d","a",3,0,3,"b","a","b","a","b","a","a","white",0,0,"a",0,0,"a","a","a","a","a","blue","red","c"
"e",91,0,"d","a",3,0,3,"b","a","b","a","b","a","a","white",0,0,"a",0,0,"a","a","a","a","a","blue","red","b"
"d",4,0,"d","a",0,3,5,"b","a","b","b","b","b","a","red",1,0,"a",0,1,"a","a","b","a","a","red","red","f"
"c",268,1,"k","f",0,3,3,"a","b","b","b","a","a","a","green",0,0,"a",0,0,"a","a","a","a","a","green","blue","d"
"e",10,1,"b","f",0,5,4,"b","b","b","a","b","a","a","red",0,0,"a",0,0,"a","a","a","a","a","red","green","d"
"b",108,17,"e","g",0,3,3,"b","a","a","b","a","b","a","gold",0,0,"a",0,0,"a","a","b","a","a","black","gold","c"
"b",249,61,"e","b",0,3,3,"b","a","a","b","a","b","a","black",0,0,"a",0,0,"a","a","a","a","a","black","gold","c"
"e",239,14,"b","f",0,3,4,"b","b","a","b","a","b","a","red",0,0,"a",0,1,"a","a","a","a","a","red","green","d"
