"hair","feathers","eggs","milk","airborne","aquatic","predator","toothed","backbone","breathes","venomous","fins","legs","tail","domestic","catsize","type"
"b","a","a","b","a","a","b","b","b","b","a","a",4,"a","a","b","a"
"b","a","a","b","a","a","a","b","b","b","a","a",4,"b","a","b","a"
"a","a","b","a","a","b","b","b","b","a","a","b",0,"b","a","a","d"
"b","a","a","b","a","a","b","b","b","b","a","a",4,"a","a","b","a"
"b","a","a","b","a","a","b","b","b","b","a","a",4,"b","a","b","a"
"b","a","a","b","a","a","a","b","b","b","a","a",4,"b","a","b","a"
"b","a","a","b","a","a","a","b","b","b","a","a",4,"b","b","b","a"
"a","a","b","a","a","b","a","b","b","a","a","b",0,"b","b","a","d"
"a","a","b","a","a","b","b","b","b","a","a","b",0,"b","a","a","d"
"b","a","a","b","a","a","a","b","b","b","a","a",4,"a","b","a","a"
"b","a","a","b","a","a","b","b","b","b","a","a",4,"b","a","b","a"
"a","b","b","a","b","a","a","a","b","b","a","a",2,"b","b","a","b"
"a","a","b","a","a","b","b","b","b","a","a","b",0,"b","a","a","d"
"a","a","b","a","a","a","b","a","a","a","a","a",0,"a","a","a","g"
"a","a","b","a","a","b","b","a","a","a","a","a",4,"a","a","a","g"
"a","a","b","a","a","b","b","a","a","a","a","a",6,"a","a","a","g"
"a","b","b","a","b","a","b","a","b","b","a","a",2,"b","a","a","b"
"b","a","a","b","a","a","a","b","b","b","a","a",4,"b","a","b","a"
"a","a","b","a","a","b","b","b","b","a","a","b",0,"b","a","b","d"
"a","a","a","b","a","b","b","b","b","b","a","b",0,"b","a","b","a"
"a","b","b","a","b","a","a","a","b","b","a","a",2,"b","b","a","b"
"a","b","b","a","b","b","a","a","b","b","a","a",2,"b","a","a","b"
"b","a","a","b","a","a","a","b","b","b","a","a",4,"b","a","b","a"
"a","b","b","a","b","a","a","a","b","b","a","a",2,"b","a","b","b"
"a","a","b","a","a","a","a","a","a","b","a","a",6,"a","a","a","f"
"a","a","b","a","a","b","b","b","b","b","a","a",4,"a","a","a","e"
"a","a","b","a","a","b","b","b","b","b","b","a",4,"a","a","a","e"
"b","a","a","b","b","a","a","b","b","b","a","a",2,"b","a","a","a"
"b","a","a","b","a","a","a","b","b","b","a","a",4,"b","a","b","a"
"b","a","a","b","a","a","b","b","b","b","a","a",2,"a","b","b","a"
"a","a","b","a","b","a","a","a","a","b","a","a",6,"a","a","a","f"
"b","a","a","b","a","a","a","b","b","b","a","a",4,"b","b","b","a"
"b","a","a","b","a","a","a","b","b","b","a","a",2,"a","a","b","a"
"a","b","b","a","b","b","b","a","b","b","a","a",2,"b","a","a","b"
"a","a","b","a","a","b","a","b","b","a","a","b",0,"b","a","a","d"
"b","a","a","b","a","a","a","b","b","b","a","a",4,"b","b","a","a"
"b","a","a","b","a","a","a","b","b","b","a","a",4,"b","a","a","a"
"a","b","b","a","b","a","b","a","b","b","a","a",2,"b","a","a","b"
"a","a","b","a","a","b","b","b","b","a","a","b",0,"b","a","a","d"
"b","a","b","a","b","a","a","a","a","b","b","a",6,"a","b","a","f"
"b","a","b","a","b","a","a","a","a","b","a","a",6,"a","a","a","f"
"a","b","b","a","a","a","b","a","b","b","a","a",2,"b","a","a","b"
"a","a","b","a","b","a","b","a","a","b","a","a",6,"a","a","a","f"
"a","b","b","a","b","a","a","a","b","b","a","a",2,"b","a","a","b"
"b","a","a","b","a","a","b","b","b","b","a","a",4,"b","a","b","a"
"b","a","a","b","a","a","b","b","b","b","a","a",4,"b","a","b","a"
"a","a","b","a","a","b","b","a","a","a","a","a",6,"a","a","a","g"
"b","a","a","b","a","a","b","b","b","b","a","a",4,"b","a","b","a"
"b","a","a","b","a","b","b","b","b","b","a","a",4,"b","a","b","a"
"b","a","a","b","a","a","b","b","b","b","a","a",4,"b","a","a","a"
"b","a","a","b","a","a","b","b","b","b","a","a",4,"b","a","b","a"
"b","a","b","a","b","a","a","a","a","b","a","a",6,"a","a","a","f"
"a","a","b","a","a","b","b","b","b","b","a","a",4,"b","a","a","e"
"a","a","b","a","a","b","b","a","a","a","a","a",8,"a","a","b","g"
"b","a","a","b","a","a","b","b","b","b","a","a",4,"b","a","a","a"
"b","a","a","b","a","a","a","b","b","b","a","a",4,"b","a","b","a"
"a","b","b","a","a","a","a","a","b","b","a","a",2,"b","a","b","b"
"a","b","b","a","b","a","a","a","b","b","a","a",2,"b","b","a","b"
"a","b","b","a","a","b","b","a","b","b","a","a",2,"b","a","b","b"
"a","b","b","a","b","a","a","a","b","b","a","a",2,"b","a","a","b"
