zone,area,population,language,religion,bars,stripes,colours,red,green,blue,gold,white,black,orange,mainhue,circles,crosses,saltires,quarters,sunstars,cresecent,triangle,icon,animate,text,topleft,botright,landmass
0,648,16,9,2,0,3,5,1,1,0,1,1,1,0,4,0,0,0,0,1,0,0,1,0,0,0,4,4
0,29,3,5,6,0,0,3,1,0,0,1,0,1,0,6,0,0,0,0,1,0,0,0,1,0,5,6,2
0,2388,20,7,2,2,0,3,1,1,0,0,1,0,0,4,0,0,0,0,1,1,0,0,0,0,3,7,3
2,0,0,0,1,0,0,5,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,6,5
0,0,0,5,0,3,0,3,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,6,2
1,1247,7,9,5,0,2,3,1,0,0,1,0,1,0,6,0,0,0,0,1,0,0,1,0,0,5,0,3
3,0,0,0,1,0,1,3,0,0,1,0,1,0,1,7,0,0,0,0,0,0,0,0,1,0,6,1,0
3,0,0,0,1,0,1,5,1,0,1,1,1,1,0,6,0,0,0,0,1,0,1,0,0,0,0,6,0
2,2777,28,1,0,0,3,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
2,2777,28,1,0,0,3,3,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1
1,7690,15,0,1,0,0,3,1,0,1,0,1,0,0,1,0,1,1,1,6,0,0,0,0,0,6,1,5
0,84,8,3,0,0,3,2,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,6,2
3,19,0,0,1,0,3,3,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
0,1,0,7,2,0,0,2,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,6,6,4
0,143,90,5,2,0,0,2,1,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,3,4,4
3,0,0,0,1,3,0,3,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0
0,31,10,5,0,3,0,3,1,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,6,2
3,23,0,0,1,0,2,8,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,5,6,0
0,113,3,2,5,0,0,2,1,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,3,4,3
3,0,0,0,1,0,0,6,1,1,1,1,1,1,0,6,1,1,1,1,0,0,0,1,1,0,6,6,0
0,47,1,9,3,0,0,4,1,0,0,0,1,1,1,5,4,0,0,0,0,0,0,0,1,0,4,6,4
2,1099,6,1,0,0,3,3,1,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,4,1
1,600,1,9,5,0,5,3,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3
2,8512,119,5,0,0,0,4,0,1,1,1,1,0,0,4,1,0,0,0,22,0,0,0,0,1,3,4,1
3,0,0,0,1,0,0,6,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,6,1,0
0,6,0,9,2,0,0,4,1,0,0,1,1,1,0,3,0,0,0,0,0,0,1,1,1,1,6,3,4
0,111,9,4,6,0,3,5,1,1,1,1,1,0,0,6,0,0,0,0,1,0,0,1,1,0,6,6,2
3,274,7,2,5,0,2,3,1,1,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,5,4,3
0,678,35,9,3,0,0,3,1,0,1,0,1,0,0,6,0,0,0,1,14,0,0,1,1,0,1,6,4
1,28,4,9,5,0,0,3,1,1,0,0,1,0,0,6,1,0,1,0,3,0,0,0,0,0,6,7,3
0,474,8,2,1,3,0,3,1,1,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,3,3,3
3,9976,24,0,1,2,0,2,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,1,0,5,6,0
3,4,0,5,0,1,2,5,1,1,0,1,0,1,1,3,0,0,0,0,1,0,0,0,1,0,5,4,3
3,0,0,0,1,0,0,6,1,1,1,1,1,0,1,1,1,1,1,1,4,0,0,1,1,1,6,1,0
0,623,2,9,5,1,0,5,1,1,1,1,1,0,0,3,0,0,0,0,1,0,0,0,0,0,1,3,3
0,1284,4,2,5,3,0,3,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,6,3
2,757,11,1,0,0,2,3,1,0,1,0,1,0,0,6,0,0,0,1,1,0,0,0,0,0,1,6,1
0,9561,1008,6,6,0,0,2,1,0,0,1,0,0,0,6,0,0,0,0,5,0,0,0,0,0,5,6,4
3,1139,28,1,0,0,3,3,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,6,1
1,2,0,2,2,0,0,2,0,1,0,0,1,0,0,4,0,0,0,0,4,1,0,0,0,0,3,4,3
1,342,2,9,5,0,0,3,1,1,0,1,0,0,0,6,0,0,0,0,1,0,0,1,1,0,5,6,3
2,0,0,0,1,0,0,4,1,0,1,0,1,0,0,1,1,1,1,1,15,0,0,0,0,0,6,1,5
3,51,2,1,0,0,5,3,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
3,115,10,1,6,0,5,3,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0
0,9,1,5,1,0,0,3,0,1,0,1,1,0,0,7,0,0,0,0,0,0,0,1,1,0,6,7,2
0,128,15,4,6,0,0,3,1,0,1,0,1,0,0,7,0,0,0,0,0,0,1,0,0,0,6,6,2
0,43,5,5,1,0,0,2,1,0,0,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,5,6,2
0,22,0,2,2,0,0,4,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,6,4,3
3,0,0,0,1,0,0,6,1,1,1,1,1,1,0,4,1,0,0,0,10,0,0,0,1,0,3,4,0
3,49,6,1,0,0,0,3,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
2,284,8,1,0,0,3,3,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,6,1
0,1001,47,7,2,0,3,4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,5,0,3
3,21,5,1,0,0,3,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
0,28,0,9,5,0,3,4,1,1,1,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,3,6,3
0,1222,31,9,1,0,3,3,1,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,6,3
3,1,0,5,1,0,0,3,1,0,1,0,1,0,0,7,0,1,0,0,0,0,0,0,0,0,6,7,2
2,12,0,0,1,0,0,6,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,6,1,1
1,18,1,0,1,0,0,7,1,1,1,1,1,0,1,1,0,2,1,1,0,0,0,1,1,0,6,1,5
0,337,5,8,1,0,0,2,0,0,1,0,1,0,0,7,0,1,0,0,0,0,0,0,0,0,6,7,2
0,547,54,2,0,3,0,3,1,0,1,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,1,6,2
3,91,0,2,0,3,0,3,1,0,1,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,1,6,1
2,4,0,2,0,0,3,5,1,0,1,1,1,1,0,6,1,0,0,0,1,0,0,1,0,0,5,6,5
1,268,1,9,5,0,3,3,0,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1,3
3,10,1,0,5,0,5,4,1,1,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,5,4,3
0,108,17,3,6,0,3,3,1,0,0,1,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,3,2
0,249,61,3,1,0,3,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
3,239,14,0,5,0,3,4,1,1,0,1,0,1,0,6,0,0,0,0,1,0,0,0,0,0,5,4,3
3,0,0,0,1,0,1,3,1,0,0,1,1,0,0,7,0,0,0,0,0,0,0,1,0,0,6,6,2
0,132,10,5,1,0,9,2,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,2
3,2176,0,5,1,0,0,2,1,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,6,6,0
3,0,0,0,1,0,0,3,1,1,0,1,0,0,0,3,1,0,0,0,7,0,1,0,1,0,5,6,0
